Р.Адыгея Майкоп
Р.Алтай Горно-Алтайск
Р.Башкирия Уфа
Р.Бурятия Улан-Удэ
Р.Дагестан Махачкала
Р.Ингушетия Магас
Р.Кабардино-Балкария Нальчик
Р.Калмыкия Элиста
Р.Карачаево-Черкессия Черкесск
Р.Карелия Петрозаводск
Р.Коми Сыктывкар
Р.Крым Симферополь
Р.Марий_Эл Йошкар-Ола
Р.Мордовия Саранск
Р.Северная_Осетия-Алания Владикавказ
Р.Татария Казань
Р.Тува(Тыва) Кызыл
Р.Удмуртия Ижевск
Р.Хакасия Абакан
Р.Чечня Грозный
Р.Чувашия Чебоксары
Р.Якутия Якутск
А.Ок.Ненецкий Нарьян-Мар
А.Ок.Ханты-Мансийский Ханты-Мансийск
А.Ок.Чукотский Анадырь
А.Ок.Ямало-Ненецкий Салехард
А.Об.Еврейская Биробиджан
К.Алтайский Барнаул
К.Забайкальский Чита
К.Камчатский Петропавловск-Камчатский
К.Краснодарский Краснодар
К.Красноярский Красноярск
К.Пермский Пермь
К.Приморский Владивосток
К.Ставропольский Ставрополь
К.Хабаровский Хабаровск
