Abkhazia Sukhum
Afghanistan Kabul
Albania	Tirana
Algeria Algiers
Argentina Buenos_Aires
Armenia	Yerevan
Australia Canberra
Austria	Vienna
Azerbaijan Baku
Bahamas Nassau
Bahrain	Manama
Bangladesh Dacca
Belarus	Minsk
Belgium	Brussels
Bermuda_Islands	Hamilton
Bolivia	La_Paz
Brazil	Brasilia
Bulgaria Sofia
Burundi	Bujumbura
Cambodia Pnompenh
Cameroon Yaounde
Canada Ottawa
Chile Santiago
China Peking
Colombia Bogota
Congo Brazzaville
Costa_Rica San_Jose
Cuba Havana
Cyprus Nicosia
Czech_Republic Prague
Denmark	Copenhagen
Dominican_Republic Santo_Domingo
Ecuador	Quito
Egypt Cairo
El_Salvador San_Salvador
Estonia	Tallinn
Ethiopia Addis-Ababa
Finland Helsinki
France Paris
Georgia	Tbilisi
Germany Berlin
Ghana Accra
Gibraltar Gibraltar
Great_Britain/United_Kingdom London
Greece Athens
Guatemala Guatemala
Guinea Conakry
Haiti Port-au-Prince
Hawaii Honolulu
Honduras Tegucigalpa
Hong_Kong Hong_Kong
Hungary Budapest
Iceland	Reykjavik
India New_Delhi
Indonesia Jakarta
Iran Tehran
Iraq Baghdad
Ireland Dublin
Israel Jerusalem
Italy Rome
Ivory_Coast Abidjan
Jamaica	Kingston
Japan Tokyo
Kazakhstan Astana
Kenya Nairobi
Kuwait Kuwait
Kyrgyzstan Bishkek
Latvia Riga
Lebanon Beirut
Liberia	Monrovia
Libya Tripoli
Lithuania Vilnius
Luxemburg Luxemburg
Madagascar Antananarivo
Malawi Lilongwe
Malaysia Kuala-Lumpur
Malta Valletta
Mexico Mexico
Moldova Kishinev
Monaco Monaco-Ville
Mongolia Ulan-Bator
Morocco	Rabat
Nepal Kathmandu
Netherlands/Holland Amsterdam
New_Zeland Wellington
Nicaragua Managua
Nigeria	Lagos
North_Korea Pyongyang
Norway Oslo
Oman Muscat
Pakistan Islamabad
Panama Panama
Papua-New_Guinea Port-Moresby
Paraguay Asuncion
Peru Lima
Philippines Manila
Poland Warsaw
Portugal Lisbon
Puerto-Rico San-Juan
Romania Bucharest
Russia Moscow
Rwanda Kigali
Saudi_Arabia Riyadh
Senegal Dakar
Sierra-Leone Freetown
Singapore Singapore
Slovakia Bratislava
Slovenia Ljubljana
South_Africa Pretoria
South_Korea Seoul
South_Ossetia Tskhinvali
Spain Madrid
Sri-Lanka Colombo
Sudan Khartoum
Sweden Stockholm
Switzerland Berne
Syria Damascus
Taiwan Taipei
Tajikistan Dushanbe
Thailand Bangkok
Togo Lome
Tunisia Tunis
Turkey Ankara
Turkmenistan Ashgabat
Uganda Kampala
Ukraine	Kiev
United_Arab_Emirates Abu_Dhabi
USA Washington
Uruguay	Montevideo
Uzbekistan Tashkent
Venezuela Caracas
Yemen Sana
Zaire Kinshasa
Zambia Lusaka
Zimbabwe Harare
